front,back
thanks,"dzięki, podziękowanie, dziękować"
snow,"śnieg, śnieżny, śnieżyca, śnieżnobiały, śnieżyć"
fishing,"łowienie ryb, połów ryb, wędkarstwo, rybołówstwo, rybacki, wędkarski"
eggs,jajka
coffee,"kawa, kawowiec, kawowy, kolor kawowy, pić kawę"
legs,nogi
interview,"wywiad, rozmowa kwalifikacyjna, przesłuchanie, przeprowadzać wywiad, przesłuchiwać"
hole,"dziura, otwór, jama"
temple,"świątynia, skroń"
teeth,zęby
payable,"płatny, do zapłaty"
rain,"deszcz, opad, padać"
elementary,"elementarny, podstawowy"
fifteen,"piętnaście, 15"
cup,"kubek, filiżanka, puchar, miseczka"
truck,"ciężarówka, samochód ciężarowy"
partner,"partner, partnerka, wspólnik, partnerować"
dropped,"upuszczać, upuścić"
drink,"napój, drink, alkohol, pić, wznosić toast, wypić, upijać się"
grass,"trawa, marihuana, informator, kret"
yes,"tak, odpowiedź twierdząca, głos za"
wear,"nosić, odzież, zużycie, zużywać się"
dance,"taniec, tańczyć"
tv,"telewizja, TV"
kitchen,"kuchnia, kuchenny"
enjoy,"podobać się, lubić, cieszyć się, dobrze się bawić"
underlying,"podstawowy, zasadniczy, leżący u podstaw, ukryty"
colour,"kolor, barwa, farba, barwnik, koloryt, rumieniec, kolorowy, kolorować, pokolorować, barwić, zabarwić"
shoulder,"bark, ramię, łopatka, pas awaryjny, pobocze, zarzucać, brać na siebie"
row,"rząd, szereg, łódź, przejażdżka łodzią, awantura, wiosłować, kłócić się"
sky,"niebo, chmury"
cook,"gotować, kucharz, kucharka"
quiet,"cichy, spokojny, cisza, spokój, uciszać, uspokajać, uspokoić"
smile,"uśmiech, uśmiechać się, uśmiechnąć się"
bus,"autobus, sprzątać naczynia, zbierać talerze, jechać autobusem"
sick,"chory, mający mdłości, zwymiotować, wywoływać wstręt, niesmaczny"
afraid,"bać się, obawiać się, zmartwiony, przestraszony"
internet,"internet, sieć"
theatre,teatr
driver,"kierowca, operator, sterownik, napęd, program sterujący"
quarterly,"kwartalny, kwartalnie, kwartalnik"
glad,"zadowolony, szczęśliwy, rad"
clothes,"ubrania, odzież"
painting,"obraz, malarstwo"
mathematics,matematyka
nice,"miły, sympatyczny, ładny, fajnie"
imagine,"wyobrażać sobie, wyobrazić sobie"
spending,wydatki
video,"wideo, film wideo, nagranie wideo, nagrywać na wideo"
tea,"herbata, herbatka, podwieczorek, slang: marihuana"
healthy,"zdrowy, sprzyjający zdrowiu"
ear,"ucho, kłos"
wheel,"koło, kierownica, toczyć się, obracać, popychać, prowadzić"
scientists,naukowcy
pool,"staw, basen, kałuża, pula, zasób, bilard, fundusz, mobilizować, komasować"
moon,"księżyc, satelita ziemski"
dream,"śnić, marzyć, sen, marzenie"
closing,"zamknięcie, zakończenie, zamykać"
listen,"słuchać, nasłuchiwać"
fat,"tłuszcz, gruby, tłusty"
forget,zapominać
expensive,"drogi, kosztowny"
happens,"zdarzać się, dziać się"
sheep,"owca, owce"
beside,"obok, przy, w porównaniu z"
poem,"wiersz, poemat"
sixth,"szósty, szósta część"
orange,"pomarańcza, pomarańczowy"
brings,"przynosi, dostarcza, powoduje, przyprowadza"
suggestion,"sugestia, propozycja, podpowiedź"
sorry,"przepraszam, przykro mi"
sixty,"sześćdziesiąt, 60"
bread,"chleb, pieczywo, kasa"
cloth,"tkanina, materiał, sukno, ścierka, obrus, chustka"
topic,"temat, kwestia"
nurse,"pielęgniarz, pielęgniarka, niańka, pielęgnować, opiekować się"
drinking,"picie, pijaństwo"
guy,"facet, gość, koleś"
fly,"mucha, lot, klapa, rozporek, latać, fruwać, wylecieć, wystrzelić, przemknąć, powiewać, uciekać, puszczać w powietrze, przewozić samolotem, cwany, sprytny"
wonderful,"cudowny, zdumiewający, zadziwiający"
meal,"posiłek, danie, jedzenie"
bag,"torba, worek"
yards,"jardy, ogrody, dziedzińce"
touch,"dotyk, dotykać, dotykowy"
cat,"kot, kotka, złośliwy, kobieta, facet, prostytutka"
tall,wysoki
busy,"zajęty, zapracowany, zajmować"
camera,"aparat fotograficzny, kamera"
photo,"zdjęcie, fotografia, fotografować"
cream,"krem, śmietana, śmietanka, kremowy, śmietankowy"
thee,"ciebie, tobą"
tower,"wieża, sterczeć, górować"
nose,"nos, dziób"
nineteenth,dziewiętnasty
everywhere,"wszędzie, gdziekolwiek"
solve,"rozwiązać, rozwiązywać, rozstrzygać"
warrant,"nakaz, poręczenie, rękojmia, gwarancja, zapewnienie, upoważnienie, pełnomocnictwo, ręczyć, gwarantować"
congressional,"kongresowy, sejmowy"
dress,"sukienka, suknia, szata, ubranie, strój, ubierać, opatrywać"
cap,"czapka, beret, kaszkiet, kapelusz, kaptur, wieko, pokrywa, kapsel, nasadka, czepek, limit, nakładać, przewyższać, kłamać"
saturday,sobota
paint,"farba, malować, pomalować"
desk,"biurko, ławka szkolna"
tomorrow,jutro
grey,"szary, siwy, szary, szarzeć, poszarzeć, siwieć, osiwieć"
pocket,"kieszeń, kieszonkowy"
cape,"peleryna, przylądek"
writes,"pisze, pisać"
fever,gorączka
uncle,"wujek, wuj, stryjek, stryj"
monday,poniedziałek
buying,"kupowanie, nabywanie"
yours,"twój, swój, wasz"
everybody,wszyscy
airport,"lotnisko, port lotniczy, lotniczy"
butter,"masło, smarować"
classroom,"klasa, sala lekcyjna"
beings,istoty
insured,"ubezpieczony, ubezpieczona"
surprise,"niespodzianka, zaskoczenie, zaskoczyć, być zaskoczonym"
pick,"elita, kilof, wybór, wykałaczka, plektron, kostka gitarowa, wyciągać, zbierać, wybierać, dziobać"
turkey,"indyk, idiota, porażka"
cleaning,"sprzątanie, porządki"
faster,"szybszy, szybciej"
rats,"szczur, szczury"
seventh,siódmy
fun,"zabawny, radosny, zabawa, ubaw, radość"
drama,dramat
dad,"tata, tato"
writings,pisma
bath,"wanna, łazienka, kąpiel, kąpać się"
friday,piątek
hat,"kapelusz, czapka, daszek, cyrkumfleks, akcent cyrkumfleksowy"
hurt,"ranić, zranić, kaleczyć, boleć, sprawiać ból, krzywdzić, ból, uraza, zraniony, ranny"
coat,"płaszcz, warstwa, fartuch, powlekać, pokrywać"
township,"gmina, miasto, dzielnica"
cried,"płakać, łkać, krzyczeć, wykrzyknąć"
guess,"przypuszczenie, domysł, zgadnąć, zgadywać, odgadywać, odgadnąć, domyślać się, przypuszczać, myśleć"
eleven,"jedenaście, 11"
cloud,"chmura, obłok, chmara, zmętnienie, zamglić, zmącić, zaćmić"
yesterday,wczoraj
smoke,"dym, dymek, papieros, palić, dymić się, wędzić, parować"
players,"gracz, gracze"
palace,pałac
bottle,"butelka, butelkować"
ride,"jechać, jeździć, wozić, przewozić, przejażdżka, jazda"
shoes,"but, buty"
lessons,"lekcja, lekcje"
habits,"nawyk, nawyki, przyzwyczajenie, zwyczaj"
lunch,"lunch, obiad"
shorter,krótszy
terrible,"okropny, straszny"
angry,"zły, rozgniewany, wściekły, zdenerwowany, gniewny"
restaurant,restauracja
vegetables,"warzywo, warzywa"
strict,"surowy, rygorystyczny, ścisły"
wash,"myć, prać, mycie, pranie"
tired,"zmęczony, senny"
mice,myszy
median,"mediana, środkowa trójkąta, środkowy"
pen,"długopis, pióro, zagroda, wybieg dla zwierząt"
warren,"nora królicza, kolonia królików, labirynt"
apple,"jabłko, jabłkowy"
inherent,"nieodłączny, nieodłącznie związany, wynikający z istoty, inherentny"
checked,"sprawdzić, sprawdzony, w kratkę"
button,"guzik, przycisk, zapinać"
flag,flaga
asks,"pytać, pyta"
whilst,"podczas gdy, gdy"
seventy,"siedemdziesiąt, 70"
blank,"pusty, niewypełniony, niezapisany, niezadrukowany, czysty, ślepy nabój, ślepak, miejsce, spacja"
vols,tomy
breakfast,"śniadanie, spożywać"
cheese,"ser, pieniądz, gomółka"
opera,opera
clock,"zegar, zegarek, tarcza zegara, stoper"
actors,"aktorzy, aktorki"
speaks,"mówi, przemawia"
excited,"podekscytowany, wzbudzony"
mom,mama
eighteen,"osiemnaście, 18"
renewal,"odnowienie, odnowa, prolongata"
sad,"smutny, przykry, żałosny, opłakany, godny ubolewania"
theater,"teatr, kino"
justification,"uzasadnienie, justyfikacja"
tenant,"najemca, lokator"
forum,forum
smoking,palenie
holdings,"posiadłości, majątek, udziały"
autumn,jesień
movie,"film, filmowy"
fourteen,"czternaście, 14"
periodic,"periodyczny, okresowy"
favorite,"ulubiony, ulubieniec, faworyt"
super,"super, wspaniały, fajny, świetnie"
holiday,"wakacje, urlop, święto"
guests,goście
knife,"nóż, przeciąć, zaatakować nożem, dźgnąć, ugodzić nożem"
jet,"odrzutowiec, dysza, struga, strumień, odrzutowy, gagat, pędzić"
tight,"ciasny, obcisły, dokręcać, mocno, szczelnie"
pray,"modlić się, błagać"
beef,"wołowina, kłócić się, narzekać"
delegation,"delegacja, oddelegowanie, pełnomocnictwo, delegowanie, uprawnienie, upoważnienie"
sixteen,"szesnaście, 16, szesnastka"
brush,"pędzel, szczotka, szczotkować"
tuesday,wtorek
shirt,"koszula, koszulka"
aunt,"ciocia, ciotka"
riding,"jazda, jazda konna, jeździć"
anybody,"ktoś, ktokolwiek"
submission,"poddanie się, uległość, pokora, przedstawienie, złożenie"
potatoes,"ziemniaki, kartofle"
chicken,"kurczak, tchórz, tchórzliwy"
bowl,"miska, misa, czasza, kula, kręgielny, gra w kręgle, toczyć, rzucać"
piano,"pianino, fortepian"
thursday,czwartek
mapping,"mapowanie, odwzorowanie"
overhead,"górny, napowietrzny, ogólny, na górze, nad, pokład, koszty ogólne"
dictionary,słownik
prolonged,"przedłużony, długotrwały"
everyday,"codzienny, zwykły, pospolity, powszechny"
contest,"debata, spór, rywalizacja, konkurs, rywalizować, kwestionować"
numbered,ponumerowany
fan,"wentylator, zwolennik, miłośnik, wachlarz"
cow,krowa
reporter,"reporter, reporterka"
festival,"festiwal, święto"
wednesday,środa
grammar,gramatyka
math,matematyka
tenth,dziesiąty
lovely,"uroczy, wspaniały, śliczny, cudowny, rozkoszny"
smart,"szczypać, boleć, odczuwać ból, bystry, zdolny, inteligentny, elegancki, szykowny"
juice,"sok, likier, siła, moc, chęć do działania, esencja, doping, prąd, paliwo, fundusz, wyciskać, pić duże ilości alkoholu"
notable,"godny uwagi, wybitny, znakomity, sławny"
knees,kolana
eighty,"osiemdziesiąt, 80"
grows,"rośnie, wzrasta"
shopping,"zakupy, robienie zakupów"
bedroom,sypialnia
pink,"różowy, róż"
pig,"świnia, glina"
insure,"ubezpieczyć, zapewnić, zagwarantować, zadbać o"
onset,początek
discusses,"omawia, dyskutuje, rozważa"
thirteen,"trzynaście, 13, trzynastka"
shelf,"półka, szelf, mielizna"
football,"piłka nożna, futbol amerykański, futbol kanadyjski, futbolówka, gra w piłkę nożną, piłkarski"
ninety,"dziewięćdziesiąt, 90"
resonance,rezonans
subjective,"subiektywny, podmiotowy"
notably,"szczególnie, w szczególności"
luck,"szczęście, fart, powodzenie, przypadek"
neighbors,sąsiedzi
missionary,"misjonarz, misjonarka"
characterization,"charakterystyka, opis"
coach,"autokar, trener, trenerka, korepetytor, korepetytorka, wagon, powóz, kareta, klasa ekonomiczna, instruować, trenować, udzielać korepetycji, dawać wskazówki"
sooner,"prędzej, raczej"
postage,"opłata pocztowa, pocztowy, frankowanie"
poorly,"źle, kiepsko, słabo, chory"
harder,"trudniejszy, cięższy, twardszy"
notification,"zawiadomienie, powiadomienie, notyfikacja, awizo"
yearly,"roczny, coroczny, doroczny, rocznik"
momentum,"pęd, siła przebicia, wiatr w żaglach"
celebrated,"świętować, celebrować, sławny"
vacation,wakacje
handsome,przystojny
literacy,"piśmienność ,umiejętność czytania i pisania"
beans,"fasola, fasolka"
swimming,pływanie
ours,"nasz, nasza, nasze"
beta,beta
grandfather,dziadek
elder,starszy
agrees,"zgadzać się, przytakiwać, wyrażać zgodę"
tooth,ząb
princess,księżniczka
socialism,socjalizm
coke,"koks, kokaina, cola, kola, wytwarzać"
dirty,"brudny, sprośny, nieprzyzwoity, podły, nikczemny, wstrętny, nieuczciwy, brudzić, kalać"
drum,bęben
ticket,"bilet, mandat"
lucky,"szczęśliwy, fartowny, mieć szczęście"
cousin,"kuzyn, kuzynka"
pet,"zwierzę domowe, pupil, miś, skarb, ulubieniec, pieścić"
periodicals,"czasopisma, periodyka"
concert,"koncert, koncertować"
lion,lew
tonight,dziś wieczorem
growers,hodowcy
cake,"ciasto, ciastko, pokryć cienką warstwą, warstwa, pył, zbrylić się"
birthday,urodziny
hungry,"głodny, wygłodniały"
borrowed,pożyczony
tenure,"kadencja, okres urzędowania, stały etat, posada, dożywotni"
hers,"jej, swój"
nineteen,"dziewiętnaście, 19, dziewiętnastka"
antibody,przeciwciało
dismissal,"zwolnienie, dymisja, oddalenie, wykluczenie"
fuller,"pilśniarz, folusznik, zbrocze, odciągacz kowalski, wydłużak kowalski, żłobić"
funny,"śmieszny, zabawny, dziwny, osobliwy"
inlet,"zatoka, wlot, ujście, wpust, wlewnik"
notified,"powiadomiony, poinformowany"
broker,"makler, pośrednik, agent"
jacket,"kurtka, marynarka, obwoluta"
ghost,"duch, widmo, upiór, zjawa, nawiedzać"
pasture,"pastwisko, wypas, wypasać, paść się"
rabbit,królik
saturated,nasycony
smell,"czuć, zapach, wąchać, pachnieć, wonieć, śmierdzieć, węch"
borrowing,zapożyczenie
sixteenth,szesnasty
presumption,"przypuszczenie, założenie, domniemanie, tupet, zarozumialstwo, zuchwała ufność"
presumed,"przypuszczalny, domniemany"
baseball,baseball
seventeen,"siedemnaście, 17, siedemnastka"
grandmother,"babcia, babunia"
dish,"talerz, potrawa, danie, naczynie"
singer,"piosenkarz, piosenkarka, śpiewak, śpiewaczka"
insulation,"odizolowanie, oddzielenie, izolacja"
email,"e-mail, email, mail, elektroniczny"
insurer,ubezpieczyciel
bodily,"cielesny, fizyczny, materialny"
legacy,"dziedzictwo, spuścizna, spadek"
weekend,"weekend, weekendowy"
excuse,"usprawiedliwienie, wytłumaczenie, wymówka, wybaczać, przepraszać"
chocolate,"czekolada, czekoladowy, kolor"
snake,wąż
impairment,"osłabienie, nadwyrężenie, uszkodzenie, uszczerbek"
climbed,"wspinać się, wspiąć się"
penal,"karny, karalny"
ruler,"linijka, władca"
bee,pszczoła
celebration,"uroczystość, świętowanie"
nationality,narodowość
closest,najbliższy
cooked,"gotowany, ugotowany"
fore,"przód, przedni, dziobowy, okrzyk ostrzegawczy, ostrzegać"
readiness,gotowość
usefulness,"przydatność, użyteczność"
bathroom,"łazienka, toaleta, ubikacja"
airplane,samolot
foreigners,"cudzoziemiec, cudzoziemcy"
pencil,ołówek
hiding,"ukrywanie, skrycie, ukryć"
fourteenth,czternasty
lonely,"samotny, osamotniony, odludny"
denote,"oznaczać, wskazywać, określać"
coding,"kodowanie, programowanie"
cinema,"kino, kinematografia, film, przemysł filmowy"
managerial,kierowniczy
saturation,"nasycenie, saturacja"
heavier,cięższy
restrictive,"ograniczający, restrykcyjny"
musicians,"muzyk, muzycy"
clever,"bystry, sprytny, lotny, sprawny, zdolny, błyskotliwy, pomysłowy, zmyślny"
awake,"budzić, budzić się, przebudzony, przytomny, czujny, świadomy"
sits,"siada, siedzi"
shower,"prysznic, przelotny opad, brać prysznic"
notation,"notacja, zapis, notatka"
eyed,"przypatrywać się, obdarzać wzrokiem, patrzeć na"
subparagraph,podpunkt
hi,"cześć, hej"
injustice,niesprawiedliwość
wake,"budzić, budzić się, czuwanie, kilwater, smuga kondensacyjna"
tennis,"tenis, tenis ziemny"
arterial,tętniczy
soup,"zupa, karmić, zapewniać posiłek, zanurzać w utrwalaczu"
outset,"początek, start"
oversight,"przeoczenie, niedopatrzenie, nadzór, dozór"
okay,"ok, w porządku, dobry, dobrze, zgoda"
incapable,"niezdolny, niezdatny, nieporadny"
ware,"towar, wyrób"
breadth,"szerokość, zakres, rozpiętość, rozmach"
fifteenth,piętnasty
hurried,pośpieszny
headings,"nagłówek, nagłówki, tytuły, śródtytuły"
realism,realizm
postwar,powojenny
sunshine,"światło słoneczne, promienie słoneczne, słońce, słoneczko, nasłoneczniony, wesołość, pogoda ducha"
hardness,twardość
manure,"obornik, gnój"
wheeler,kołodziej
blowing,"dmuchanie, wianie, wybuch, eksplozja"
denotes,"oznaczać, symbolizować, wskazywać"
ugly,"brzydki, brzydal"
toilet,"sedes, muszla klozetowa, toaleta, ubikacja, WC"
periodically,"okresowo, cyklicznie, periodycznie"
latent,"utajony, ukryty, uśpiony"
collectively,zbiorowo
breathe,"oddychać, wdychać, wydychać"
paste,"pasta, przecier, klajster, zaczyn, naklejać, przykleić, wklejać, klajstrować, zalepiać"
sectional,"sekcyjny, przekrojowy, odcinkowy, segmentowy, kanapa modułowa, segmentowa kanapa"
counselor,"doradca, radca, prawnik, pedagog, szkolny"
roses,"róża, róże"
honorary,honorowy
eleventh,jedenasty
posture,"postawa, postura, poza, stanowisko, podejście, pozować, przybierać"
coatings,"powłoka, pokrycie, warstwa ochronna"
problematic,problematyczny
headache,"ból głowy, problem, utrapienie, zmartwienie"
introduces,"przedstawia, wprowadza, zapoznaje, wdraża"
backing,"poparcie, wsparcie, podkład, podłoże, podkładka, akompaniament"
unjust,niesprawiedliwy
handful,"garść, garstka, niewielka ilość"
toys,"zabawka, zabawki"
repayment,spłata
prayed,"modlił się, modliła się, modlili się"
couch,"kanapa, sofa, kozetka, leżanka"
daddy,"tatuś, tatusiu, tatko"
manor,"dwór, rezydencja, majątek ziemski, folwark"
copying,"kopiowanie, powielanie"
favourite,ulubiony
lily,lilia
borrower,"pożyczkobiorca, kredytobiorca"
sailors,"marynarze, żeglarze"
jump,"skok, skakać, wyskakiwać, przeskakiwać"
tomato,pomidor
ratification,ratyfikacja
boring,nudny
pants,"majtki, slipy, kalesony, spodnie"
fairy,"wróżka, czarodziejka, skrzydlaty, duszek, homoseksualista"
candy,"cukierek, słodycze, łakocie, kandyzować"
frontal,"czołowy, przedni"
thirteenth,trzynasty
upheld,"podtrzymać, utrzymać, podtrzymany"
kick,"kop, kopnięcie, kopniak, kopać"
