front_text,back_text,explanation
Przysięga Kościuszki w Krakowie (data),1794-03-24,"„Przysięga Kościuszki w Krakowie” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Bitwa pod Racławicami (data),1794-04-04,„Bitwa pod Racławicami” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Insurekcja warszawska (data),1794-04-17,"„Insurekcja warszawska” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Uniwersał połaniecki (data),1794-05-07,"„Uniwersał połaniecki” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
Bitwa pod Maciejowicami (data),1794-10-10,„Bitwa pod Maciejowicami” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Rzeź Pragi – upadek powstania (data),1794-11-04,"„Rzeź Pragi” to wydarzenie z epoki nowożytnej, związane z funkcjonowaniem Rzeczypospolitej i jej ustroju. Mogło wpływać na równowagę między monarchą, sejmem i elitami oraz na politykę zagraniczną."
III rozbiór Polski – utrata państwowości (rok),1795,"„III rozbiór Polski” zakończył istnienie Rzeczypospolitej jako niepodległego państwa. Rozpoczęła się epoka zaborów, w której walka o tożsamość i niepodległość przybrała nowe formy."
Abdykacja Stanisława Augusta Poniatowskiego (data),1795-11,"„Abdykacja Stanisława Augusta Poniatowskiego” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Powstanie Legionów Polskich we Włoszech (rok),1797,"„Powstanie Legionów Polskich we Włoszech” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Powstanie wielkopolskie – wyparcie Prus (rok),1806,"„Powstanie wielkopolskie” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Utworzenie Księstwa Warszawskiego (rok),1807,"„Utworzenie Księstwa Warszawskiego” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Konstytucja Księstwa Warszawskiego (data),1807-07-22,"„Konstytucja Księstwa Warszawskiego” było ważnym aktem prawnym porządkującym ustrój, administrację lub prawa obywatelskie. Długofalowo wpływało na funkcjonowanie państwa i relacje między grupami społecznymi."
Wprowadzenie Kodeksu Napoleona w Księstwie Warszawskim (rok),1808,"„Wprowadzenie Kodeksu Napoleona w Księstwie Warszawskim” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Wojna z Austrią – przyłączenie Galicji Zachodniej (rok),1809,"„Wojna z Austrią” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Wyprawa Napoleona na Rosję – udział wojsk polskich (rok),1812,"„Wyprawa Napoleona na Rosję” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Upadek Księstwa Warszawskiego (rok),1813,"„Upadek Księstwa Warszawskiego” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Kongres wiedeński – powstanie Królestwa Polskiego (rok),1815,"„Kongres wiedeński” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Konstytucja Królestwa Polskiego (data),1815-11-27,"„Konstytucja Królestwa Polskiego” było ważnym aktem prawnym porządkującym ustrój, administrację lub prawa obywatelskie. Długofalowo wpływało na funkcjonowanie państwa i relacje między grupami społecznymi."
Utworzenie Uniwersytetu Warszawskiego (rok),1817,"„Utworzenie Uniwersytetu Warszawskiego” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Początek romantyzmu w Polsce – publikacja Ballad i romansów (rok),1822,"„Początek romantyzmu w Polsce” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Wybuch powstania listopadowego (data),1830-11-29,"„Wybuch powstania listopadowego” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Detronizacja Mikołaja I przez Sejm (data),1830-12-25,"„Detronizacja Mikołaja I przez Sejm” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Bitwa pod Grochowem (data),1831-02-25,„Bitwa pod Grochowem” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Bitwa pod Dębem Wielkim (data),1831-03-31,„Bitwa pod Dębem Wielkim” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Bitwa pod Iganiami (data),1831-04-10,„Bitwa pod Iganiami” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Bitwa pod Ostrołęką (data),1831-05-26,„Bitwa pod Ostrołęką” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Upadek Warszawy w powstaniu listopadowym (data),1831-09-08,"„Upadek Warszawy w powstaniu listopadowym” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Statut organiczny – ograniczenie autonomii Królestwa Polskiego (rok),1832,"„Statut organiczny” było ważnym aktem prawnym porządkującym ustrój, administrację lub prawa obywatelskie. Długofalowo wpływało na funkcjonowanie państwa i relacje między grupami społecznymi."
Publikacja Pana Tadeusza Adama Mickiewicza (rok),1834,"„Publikacja Pana Tadeusza Adama Mickiewicza” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Powstanie krakowskie (data),1846-02,"„Powstanie krakowskie” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Wiosna Ludów – wystąpienia w zaborach (rok),1848,"„Wiosna Ludów” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Demonstracje w Warszawie – początek manifestacji patriotycznych (data),1861-02-27,"„Demonstracje w Warszawie” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Wybuch powstania styczniowego (data),1863-01-22,"„Wybuch powstania styczniowego” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Uwłaszczenie chłopów w Królestwie Polskim (rok),1864,"„Uwłaszczenie chłopów w Królestwie Polskim” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Egzekucja Romualda Traugutta (data),1864-08-05,"„Egzekucja Romualda Traugutta” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Autonomia Galicji po ugodzie austro-węgierskiej (rok),1867,"„Autonomia Galicji po ugodzie austro-węgierskiej” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Powstanie I Proletariatu (rok),1883,"„Powstanie I Proletariatu” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Utworzenie Polskiej Partii Socjalistycznej (rok),1892,"„Utworzenie Polskiej Partii Socjalistycznej” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Powstanie Stronnictwa Demokratyczno-Narodowego (rok),1897,"„Powstanie Stronnictwa Demokratyczno-Narodowego” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Strajk dzieci we Wrześni (rok),1901,"„Strajk dzieci we Wrześni” był formą presji społecznej na władze lub pracodawców. Często prowadził do ustępstw, zmian politycznych albo zaostrzenia represji."
Rewolucja 1905 roku w Królestwie Polskim (rok),1905,"„Rewolucja 1905 roku w Królestwie Polskim” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Akcja pod Bezdanami – działalność Organizacji Bojowej PPS (rok),1908,"„Akcja pod Bezdanami” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Wybuch I wojny światowej – formowanie Legionów Polskich (data),1914-08,"„Wybuch I wojny światowej” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Wymarsz Pierwszej Kompanii Kadrowej (data),1914-08-06,"„Wymarsz Pierwszej Kompanii Kadrowej” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Wycofanie Rosjan i wejście Niemców do Warszawy (data),1915-08-05,"„Wycofanie Rosjan i wejście Niemców do Warszawy” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Akt 5 listopada – zapowiedź Królestwa Polskiego (data),1916-11-05,"„Akt 5 listopada” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Kryzys przysięgowy w Legionach (data),1917-07,"„Kryzys przysięgowy w Legionach” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Powołanie Rady Regencyjnej (data),1917-09-12,"„Powołanie Rady Regencyjnej” to wydarzenie z okresu zaborów, gdy Polacy działali bez własnego państwa. Wpływało na rozwój ruchów politycznych, kulturę i strategie odzyskania niepodległości."
Traktat brzeski – spór o Chełmszczyznę (data),1918-02-09,"„Traktat brzeski” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Odzyskanie niepodległości przez Polskę (data),1918-11-11,"„Odzyskanie niepodległości przez Polskę” oznaczało odrodzenie państwa po 123 latach zaborów, w warunkach załamania porządku po I wojnie światowej. Rozpoczął się proces budowy instytucji i wytyczania granic."
Przejęcie władzy przez Józefa Piłsudskiego (data),1918-11-14,"„Przejęcie władzy przez Józefa Piłsudskiego” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Wybuch powstania wielkopolskiego (data),1918-12-27,"„Wybuch powstania wielkopolskiego” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Wybory do Sejmu Ustawodawczego (data),1919-01-26,"„Wybory do Sejmu Ustawodawczego” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Początek wojny polsko-bolszewickiej (data),1919-02-14,"„Początek wojny polsko-bolszewickiej” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Traktat wersalski – uznanie granic i odrodzenia Polski (data),1919-06-28,"„Traktat wersalski” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
I powstanie śląskie (data),1919-08-16,„I powstanie śląskie” było elementem walki o przynależność Górnego Śląska po I wojnie światowej. Wraz z plebiscytem wpłynęło na podział regionu między Polskę i Niemcy.
Powstanie Uniwersytetu Poznańskiego (data),1919-12,"„Powstanie Uniwersytetu Poznańskiego” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Zaślubiny Polski z morzem w Pucku (data),1920-02-10,"„Zaślubiny Polski z morzem w Pucku” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Sojusz Piłsudski–Petlura (data),1920-04-21,"„Sojusz Piłsudski–Petlura” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Bitwa warszawska – przełom wojny polsko-bolszewickiej (data),1920-08-15,„Bitwa warszawska” było przełomem wojny polsko‑bolszewickiej i zatrzymało ofensywę Armii Czerwonej. Zabezpieczyło niezależność II RP i wpłynęło na układ sił w Europie.
Bitwa pod Komarowem (data),1920-08-31,„Bitwa pod Komarowem” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Bitwa nad Niemnem (data),1920-09-20,„Bitwa nad Niemnem” była starciem zbrojnym istotnym dla układu sił w danym konflikcie. Zwykle przekładała się na zmianę inicjatywy strategicznej lub morale stron.
Rozejm w wojnie polsko-bolszewickiej (data),1920-10-12,"„Rozejm w wojnie polsko-bolszewickiej” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
III powstanie śląskie (rok),1921,„III powstanie śląskie” było elementem walki o przynależność Górnego Śląska po I wojnie światowej. Wraz z plebiscytem wpłynęło na podział regionu między Polskę i Niemcy.
Konstytucja marcowa (data),1921-03-17,"„Konstytucja marcowa” było ważnym aktem prawnym porządkującym ustrój, administrację lub prawa obywatelskie. Długofalowo wpływało na funkcjonowanie państwa i relacje między grupami społecznymi."
Traktat ryski (data),1921-03-18,"„Traktat ryski” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Plebiscyt na Górnym Śląsku (data),1921-03-20,"„Plebiscyt na Górnym Śląsku” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Przyłączenie części Górnego Śląska do Polski (data),1922-06,"„Przyłączenie części Górnego Śląska do Polski” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Wybór Gabriela Narutowicza na prezydenta (data),1922-12-09,"„Wybór Gabriela Narutowicza na prezydenta” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Zamach na prezydenta Narutowicza (data),1922-12-16,"„Zamach na prezydenta Narutowicza” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Kryzys polityczny – rząd Chjeno-Piasta i strajki (rok),1923,"„Kryzys polityczny” był formą presji społecznej na władze lub pracodawców. Często prowadził do ustępstw, zmian politycznych albo zaostrzenia represji."
Wydarzenia krakowskie 1923 – starcia i ofiary (data),1923-11-06,"„Wydarzenia krakowskie 1923” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Reforma walutowa Władysława Grabskiego – wprowadzenie złotego (rok),1924,"„Reforma walutowa Władysława Grabskiego” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Konkordat Polski ze Stolicą Apostolską (rok),1925,"„Konkordat Polski ze Stolicą Apostolską” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Zamach majowy (data),1926-05-12,"„Zamach majowy” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Utworzenie Bezpartyjnego Bloku Współpracy z Rządem (rok),1927,"„Utworzenie Bezpartyjnego Bloku Współpracy z Rządem” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Wybory parlamentarne – umocnienie sanacji (rok),1928,"„Wybory parlamentarne” wyznaczał kierunek polityki państwa albo rozstrzygał spór o władzę. Skutki były widoczne w układzie rządów, reformach lub polityce zagranicznej."
Proces brzeski – represje wobec opozycji (rok),1930,"„Proces brzeski” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Pakt o nieagresji Polska–ZSRR (rok),1932,"„Pakt o nieagresji Polska–ZSRR” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Deklaracja o niestosowaniu przemocy Polska–Niemcy (data),1934-01-26,"„Deklaracja o niestosowaniu przemocy Polska–Niemcy” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Konstytucja kwietniowa (data),1935-04-23,"„Konstytucja kwietniowa” było ważnym aktem prawnym porządkującym ustrój, administrację lub prawa obywatelskie. Długofalowo wpływało na funkcjonowanie państwa i relacje między grupami społecznymi."
Śmierć Józefa Piłsudskiego (data),1935-05-12,"„Śmierć Józefa Piłsudskiego” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Strajki robotnicze i napięcia społeczne (rok),1936,"„Strajki robotnicze i napięcia społeczne” był formą presji społecznej na władze lub pracodawców. Często prowadził do ustępstw, zmian politycznych albo zaostrzenia represji."
Wielki strajk chłopski (rok),1937,"„Wielki strajk chłopski” był formą presji społecznej na władze lub pracodawców. Często prowadził do ustępstw, zmian politycznych albo zaostrzenia represji."
Zaolzie – zajęcie przez Polskę części Śląska Cieszyńskiego (data),1938-10,"„Zaolzie” to wydarzenie z okresu II Rzeczypospolitej, gdy odbudowywano instytucje i gospodarkę. Wpływało na stabilność polityczną, bezpieczeństwo granic i modernizację państwa."
Gwarancje brytyjskie dla Polski (data),1939-03,„Gwarancje brytyjskie dla Polski” były deklaracją wsparcia polityczno‑wojskowego w obliczu narastającego zagrożenia ze strony III Rzeszy. Stały się elementem gry dyplomatycznej w ostatnich miesiącach przed wybuchem wojny.
Pakt Ribbentrop–Mołotow (data),1939-08-23,"„Pakt Ribbentrop–Mołotow” był porozumieniem Niemiec i ZSRR o nieagresji, z tajnymi ustaleniami dotyczącymi podziału wpływów w Europie Środkowej. W praktyce otworzył drogę do agresji na Polskę i kolejnych działań obu mocarstw."
Napaść Niemiec na Polskę – początek II wojny światowej (data),1939-09-01,"„Napaść Niemiec na Polskę” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Wielka Brytania i Francja wypowiadają wojnę Niemcom (data),1939-09-03,"„Wielka Brytania i Francja wypowiadają wojnę Niemcom” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Początek bitwy nad Bzurą (data),1939-09-09,"„Początek bitwy nad Bzurą” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Agresja ZSRR na Polskę (data),1939-09-17,"„Agresja ZSRR na Polskę” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Kapitulacja Warszawy (data),1939-09-28,"„Kapitulacja Warszawy” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Utworzenie rządu RP na uchodźstwie (data),1939-09-30,"„Utworzenie rządu RP na uchodźstwie” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Początek Polskiego Państwa Podziemnego – SZP (data),1939-10,"„Początek Polskiego Państwa Podziemnego” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Powstanie Związku Walki Zbrojnej (data),1939-11-13,"„Powstanie Związku Walki Zbrojnej” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Zbrodnia katyńska – mord na polskich oficerach (data),1940-04,"„Zbrodnia katyńska” to masowe mordy na polskich oficerach i elitach, dokonane przez NKWD. Stała się jednym z najbardziej bolesnych symboli polityki ZSRR wobec Polski."
Pierwszy transport do Auschwitz (data),1940-06-14,"„Pierwszy transport do Auschwitz” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Bitwa o Anglię – udział polskich pilotów (data),1940-07,"„Bitwa o Anglię” była starciem zbrojnym – udział polskich pilotów. Wynik wpływał na prestiż, granice lub dalszy przebieg konfliktu."
Atak Niemiec na ZSRR – zmiana sytuacji na okupowanych ziemiach (data),1941-06-22,"„Atak Niemiec na ZSRR” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Układ Sikorski–Majski (data),1941-07-30,"„Układ Sikorski–Majski” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Powstanie Armii Krajowej (data),1942-02-14,"„Powstanie Armii Krajowej” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Wielka akcja likwidacyjna w getcie warszawskim (data),1942-07,"„Wielka akcja likwidacyjna w getcie warszawskim” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Powstanie w getcie warszawskim (data),1943-04-19,"„Powstanie w getcie warszawskim” było zrywem zbrojnym, zwykle powiązanym z dążeniem do niepodległości. Skutki obejmowały zmiany społeczne, represje i wpływ na kolejne strategie działania."
Śmierć gen Władysława Sikorskiego (data),1943-07-04,"„Śmierć gen Władysława Sikorskiego” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Konferencja w Teheranie – decyzje o powojennej Polsce (data),1943-11-28,"„Konferencja w Teheranie” regulował relacje międzynarodowe. Ustalał warunki polityczne lub terytorialne, wpływając na sytuację w kolejnych latach."
Operacja Burza – rozpoczęcie działań AK (data),1944-01,"„Operacja Burza” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Manifest PKWN (data),1944-07-22,"„Manifest PKWN” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Wyzwolenie Lublina – początek władzy komunistycznej w kraju (data),1944-07-24,"„Wyzwolenie Lublina” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Powstanie warszawskie (data),1944-08-01,"„Powstanie warszawskie” było próbą wyzwolenia stolicy przed wejściem Armii Czerwonej, podjętą przez Armię Krajową. Zakończyło się klęską i ogromnymi stratami ludności oraz zniszczeniem miasta."
Kapitulacja powstania warszawskiego (data),1944-10-02,"„Kapitulacja powstania warszawskiego” to wydarzenie z okresu II wojny światowej, gdy Polska znalazła się pod okupacją i działała w konspiracji. Skutkowało znaczącymi stratami ludzkimi oraz zmianami w powojennym układzie sił."
Konferencja jałtańska (data),1945-02-04,"„Konferencja jałtańska” ustaliła zarys powojennego ładu w Europie, w tym kierunek zmian dotyczących Polski. Decyzje wielkich mocarstw w praktyce ograniczyły polską suwerenność w powojennym układzie."
Aresztowanie przywódców Polskiego Państwa Podziemnego (data),1945-03-27,"„Aresztowanie przywódców Polskiego Państwa Podziemnego” dotyczy powojennego porządkowania Europy i kształtowania nowych władz w Polsce. To czas przesuwania granic, odbudowy i narastającego wpływu ZSRR na system polityczny."
Koniec II wojny światowej w Europie (data),1945-05-08,"„Koniec II wojny światowej w Europie” zakończył działania wojenne na kontynencie, ale nie oznaczał pełnej wolności dla Polski. W kolejnych latach trwała walka o kształt ustroju i realną suwerenność."
Proces szesnastu w Moskwie (data),1945-06-18,"„Proces szesnastu w Moskwie” dotyczy powojennego porządkowania Europy i kształtowania nowych władz w Polsce. To czas przesuwania granic, odbudowy i narastającego wpływu ZSRR na system polityczny."
Utworzenie Tymczasowego Rządu Jedności Narodowej (data),1945-06-28,"„Utworzenie Tymczasowego Rządu Jedności Narodowej” dotyczy powojennego porządkowania Europy i kształtowania nowych władz w Polsce. To czas przesuwania granic, odbudowy i narastającego wpływu ZSRR na system polityczny."
Konferencja poczdamska – ustalenia granic (data),1945-07-17,„Konferencja poczdamska” doprecyzowała powojenne granice i zasady okupacji Niemiec. Ustalenia miały kluczowe znaczenie dla zachodniej granicy Polski i przesiedleń ludności.
Powołanie ONZ – Polska wśród państw założycielskich (data),1945-10-24,„Powołanie ONZ” włączyło Polskę w nowy system bezpieczeństwa zbiorowego po II wojnie światowej. Organizacja stała się ważnym forum dyplomatycznym w realiach zimnej wojny.
